    0.100616340237118268E+00    0.300223159126433436E+00    0.198673020140542472E+00    0.795425060590216115E+00    0.800393467807134606E+00    0.600944985762245421E+00    0.497859495152826126E+00   -0.130226532173451233E+04
    0.983202898553404980E-01    0.300370523387564481E+00    0.201969692248311544E+00    0.808338029809123615E+00    0.799961688546573568E+00    0.601089901196230514E+00    0.497170952331780491E+00   -0.130083342556409798E+04
    0.100352029276750743E+00    0.299288272152656298E+00    0.198007782766166596E+00    0.810537315091786281E+00    0.799334955764977484E+00    0.599182088217563913E+00    0.507813508357847776E+00   -0.130026835848207770E+04
    0.971348314702547150E-01    0.298742634685494057E+00    0.202295651205874200E+00    0.811128737961371304E+00    0.798790272732761597E+00    0.599918397981501594E+00    0.500757890342823364E+00   -0.130007770642066089E+04
    0.993974475003732982E-01    0.298664257672237754E+00    0.200434053063862000E+00    0.813200387285593740E+00    0.799458144400122528E+00    0.598463654026939018E+00    0.499130137730576462E+00   -0.130005134181844846E+04
    0.101265408615135846E+00    0.301146851805565330E+00    0.199468240703257887E+00    0.797213114442388515E+00    0.800441233476947289E+00    0.599809549507234308E+00    0.500033928059071986E+00   -0.129940445534425453E+04
    0.994997079924095362E-01    0.298559013428400577E+00    0.201707168192264058E+00    0.804224668747626659E+00    0.799995006862728619E+00    0.600404409706889131E+00    0.504673993552449018E+00   -0.129932324482915647E+04
    0.989560931791629433E-01    0.300455572626906142E+00    0.200433824975792846E+00    0.804057119853178293E+00    0.799360859040700977E+00    0.599123291422854254E+00    0.495173850556501538E+00   -0.129931574246214154E+04
    0.973111572769675415E-01    0.299689802223861712E+00    0.204005795621489683E+00    0.803869701120274338E+00    0.800080268016404084E+00    0.599591467105825227E+00    0.504955872030094954E+00   -0.129895317246320178E+04
    0.100368394804038336E+00    0.300384625606024691E+00    0.200423429786376811E+00    0.797799787370947699E+00    0.801808879939604591E+00    0.599708029778337925E+00    0.495976097527555226E+00   -0.129890409756672125E+04
    0.999016216721371197E-01    0.300398444472477932E+00    0.200036826750339347E+00    0.796927404046196219E+00    0.798877138793906205E+00    0.599967280052099761E+00    0.498555810716681591E+00   -0.129874941115014258E+04
    0.982896668149120245E-01    0.298770191265659957E+00    0.201618062574665552E+00    0.806467868990125680E+00    0.800751613500953363E+00    0.600207963971284064E+00    0.496131964258841318E+00   -0.129874816384285373E+04
    0.991203398476925429E-01    0.300801159224037273E+00    0.199254860974721115E+00    0.804620529191482525E+00    0.799751689526371545E+00    0.600591017691603057E+00    0.498307638780980555E+00   -0.129855651905923287E+04
    0.995129618685179351E-01    0.298513131165740631E+00    0.200301454144256041E+00    0.809152320500081346E+00    0.801623609897753164E+00    0.599659913894117214E+00    0.500722459664925235E+00   -0.129854100544080575E+04
    0.987361204209852711E-01    0.298067867589061897E+00    0.201020970071888239E+00    0.808479900818865671E+00    0.800789124763492288E+00    0.599866670971979210E+00    0.498789716167700292E+00   -0.129841550088771646E+04
    0.994643615462202091E-01    0.299829055645379094E+00    0.199594131256699503E+00    0.814384861852861852E+00    0.799259692699929247E+00    0.599427804865317104E+00    0.501805534572827949E+00   -0.129831158720345024E+04
    0.100505252802126077E+00    0.298471162538127610E+00    0.197290029748029339E+00    0.808156052064213148E+00    0.800002229953169497E+00    0.599136279814124539E+00    0.503673467482698700E+00   -0.129823278673114987E+04
