# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0
# for k=1.02819e-05 to 100.188 h/Mpc,
# number of wavenumbers equal to 4849
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.197635805633e-05      -1.770828348526e-07      -8.192660060564e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.711831560251e+01 
       1.201087844074e-05      -1.786029997675e-07      -8.262922447034e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.727751047710e+01 
       1.204549832592e-05      -1.801353309929e-07      -8.333787416507e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.743714900683e+01 
       1.208021799868e-05      -1.816798285290e-07      -8.405258969452e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.759722442872e+01 
       1.211503774665e-05      -1.832368043324e-07      -8.477344245973e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.775775125591e+01 
       1.214995785827e-05      -1.848087540566e-07      -8.550048148057e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.791872823782e+01 
       1.218497862283e-05      -1.863928700914e-07      -8.623375573085e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.808015384889e+01 
       1.222010033045e-05      -1.879922720036e-07      -8.697332386101e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.824203280563e+01 
       1.225532327209e-05      -1.896038402265e-07      -8.771924115308e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.840436720041e+01 
       1.229064773955e-05      -1.912306943268e-07      -8.847153168989e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.856713814942e+01 
       1.232607402545e-05      -1.928694027811e-07      -8.923028634426e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.873037088736e+01 
       1.236160242328e-05      -1.945237090695e-07      -8.999554125124e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.889405397618e+01 
       1.239723322736e-05      -1.961933012353e-07      -9.076736659543e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.905819811717e+01 
       1.243296673287e-05      -1.978747477551e-07      -9.154581078499e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.922279940222e+01 
       1.246880323583e-05      -1.995717921091e-07      -9.233094723334e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.938786981778e+01 
       1.250474303312e-05      -2.012838103838e-07      -9.312277000722e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.955337005330e+01 
       1.254078642247e-05      -2.030111145359e-07      -9.392144484836e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.971937057787e+01 
       1.257693370247e-05      -2.047505849987e-07      -9.472693875854e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.988581432630e+01 
       1.261318517257e-05      -2.065084609058e-07      -9.553934383444e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.005272388539e+01 
       1.264954113310e-05      -2.082785031234e-07      -9.635870353188e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.022009064704e+01 
       1.268600188523e-05      -2.100638312186e-07      -9.718509342477e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.038792587518e+01 
       1.272256773101e-05      -2.118672528013e-07      -9.801857759167e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.055623319164e+01 
       1.275923897335e-05      -2.136828406947e-07      -9.885920998135e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.072500962838e+01 
       1.279601591606e-05      -2.155168340323e-07      -9.970705658828e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.089425935656e+01 
       1.283289886380e-05      -2.173629936806e-07      -1.005621696494e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.106397781201e+01 
       1.286988812212e-05      -2.192275587731e-07      -1.014246386756e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.123418275230e+01 
       1.290698399744e-05      -2.211102173533e-07      -1.022944777281e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.140484594986e+01 
       1.294418679707e-05      -2.230050422440e-07      -1.031717793149e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.157598635424e+01 
