#  k              avgk        avgP-pSN       s_avgP       SN
# 
3.141593e-03 4.009122e-03 5.357345e+01 4.977431e+00 2.265891e+01
6.283185e-03 7.008279e-03 9.111492e+01 5.110243e+00 2.265891e+01
9.424778e-03 9.846258e-03 1.043884e+02 2.635152e+00 2.265891e+01
1.256637e-02 1.275670e-02 1.095729e+02 4.844571e+00 2.265891e+01
1.570796e-02 1.601454e-02 1.253921e+02 3.225770e+00 2.265891e+01
1.884956e-02 1.923262e-02 1.153629e+02 3.802012e+00 2.265891e+01
2.199115e-02 2.221655e-02 1.164834e+02 2.015674e+00 2.265891e+01
2.513274e-02 2.521154e-02 1.045631e+02 2.072133e+00 2.265891e+01
2.827433e-02 2.845465e-02 9.847110e+01 1.455517e+00 2.265891e+01
3.141593e-02 3.170923e-02 9.296154e+01 1.221063e+00 2.265891e+01
3.455752e-02 3.474996e-02 8.637670e+01 1.505331e+00 2.265891e+01
3.769911e-02 3.779067e-02 8.055195e+01 9.317791e-01 2.265891e+01
4.084070e-02 4.098137e-02 7.228948e+01 6.700247e-01 2.265891e+01
4.398230e-02 4.415116e-02 6.855935e+01 7.932244e-01 2.265891e+01
4.712389e-02 4.717609e-02 6.509918e+01 5.364443e-01 2.265891e+01
5.026548e-02 5.028003e-02 6.077903e+01 7.416437e-01 2.265891e+01
5.340708e-02 5.350694e-02 5.814710e+01 7.817853e-01 2.265891e+01
5.654867e-02 5.671367e-02 5.710750e+01 5.784804e-01 2.265891e+01
5.969026e-02 5.980448e-02 5.473798e+01 6.303967e-01 2.265891e+01
6.283185e-02 6.289022e-02 5.211846e+01 6.423478e-01 2.265891e+01
6.597345e-02 6.607451e-02 5.174997e+01 3.226522e-01 2.265891e+01
6.911504e-02 6.922816e-02 4.849118e+01 4.113907e-01 2.265891e+01
7.225663e-02 7.232486e-02 4.630584e+01 5.744802e-01 2.265891e+01
7.539822e-02 7.542675e-02 4.462672e+01 2.950976e-01 2.265891e+01
7.853982e-02 7.858645e-02 4.160414e+01 3.224370e-01 2.265891e+01
8.168141e-02 8.177089e-02 3.916773e+01 2.997850e-01 2.265891e+01
8.482300e-02 8.491281e-02 3.698502e+01 3.258147e-01 2.265891e+01
8.796459e-02 8.805068e-02 3.477648e+01 3.738041e-01 2.265891e+01
9.110619e-02 9.119993e-02 3.307036e+01 1.655892e-01 2.265891e+01
9.424778e-02 9.432535e-02 3.104011e+01 2.034727e-01 2.265891e+01
9.738937e-02 9.745408e-02 2.962387e+01 9.324627e-02 2.265891e+01
1.005310e-01 1.005713e-01 2.810861e+01 1.869898e-01 2.265891e+01
1.036726e-01 1.036977e-01 2.691375e+01 2.057842e-01 2.265891e+01
1.068141e-01 1.068695e-01 2.625919e+01 1.823074e-01 2.265891e+01
1.099557e-01 1.100165e-01 2.514618e+01 1.650420e-01 2.265891e+01
1.130973e-01 1.131465e-01 2.430918e+01 1.444749e-01 2.265891e+01
1.162389e-01 1.162993e-01 2.410436e+01 1.469454e-01 2.265891e+01
1.193805e-01 1.194446e-01 2.312631e+01 7.334354e-02 2.265891e+01
1.225221e-01 1.225609e-01 2.282647e+01 1.477443e-01 2.265891e+01
1.256637e-01 1.256869e-01 2.176036e+01 1.159376e-01 2.265891e+01
1.288053e-01 1.288535e-01 2.100893e+01 1.080553e-01 2.265891e+01
1.319469e-01 1.320102e-01 2.058869e+01 1.841698e-01 2.265891e+01
1.350885e-01 1.351449e-01 2.000782e+01 1.295090e-01 2.265891e+01
1.382301e-01 1.382808e-01 1.915685e+01 8.880372e-02 2.265891e+01
1.413717e-01 1.414349e-01 1.840890e+01 1.020617e-01 2.265891e+01
1.445133e-01 1.445743e-01 1.766021e+01 9.284399e-02 2.265891e+01
1.476549e-01 1.476762e-01 1.681279e+01 1.086544e-01 2.265891e+01
1.507964e-01 1.508038e-01 1.626731e+01 1.108150e-01 2.265891e+01
1.539380e-01 1.539691e-01 1.551648e+01 5.953971e-02 2.265891e+01
1.570796e-01 1.571380e-01 1.502304e+01 9.238076e-02 2.265891e+01
1.602212e-01 1.602731e-01 1.484545e+01 1.072148e-01 2.265891e+01
1.633628e-01 1.634064e-01 1.435978e+01 1.112470e-01 2.265891e+01
1.665044e-01 1.665619e-01 1.389466e+01 9.567493e-02 2.265891e+01
1.696460e-01 1.697023e-01 1.367837e+01 8.866439e-02 2.265891e+01
1.727876e-01 1.728196e-01 1.327261e+01 1.054499e-01 2.265891e+01
1.759292e-01 1.759404e-01 1.293564e+01 5.691438e-02 2.265891e+01
1.790708e-01 1.791016e-01 1.275838e+01 7.186200e-02 2.265891e+01
1.822124e-01 1.822559e-01 1.232412e+01 5.928970e-02 2.265891e+01
1.853540e-01 1.853820e-01 1.205909e+01 3.662543e-02 2.265891e+01
1.884956e-01 1.885270e-01 1.189121e+01 7.846999e-02 2.265891e+01
1.916372e-01 1.916794e-01 1.160871e+01 7.487724e-02 2.265891e+01
1.947787e-01 1.948257e-01 1.127414e+01 5.850722e-02 2.265891e+01
1.979203e-01 1.979385e-01 1.098468e+01 7.945252e-02 2.265891e+01
2.010619e-01 2.010563e-01 1.072371e+01 7.346989e-02 2.265891e+01
2.042035e-01 2.042269e-01 1.046398e+01 4.172567e-02 2.265891e+01
2.073451e-01 2.073848e-01 1.015816e+01 8.279882e-02 2.265891e+01
2.104867e-01 2.105272e-01 9.832998e+00 7.172206e-02 2.265891e+01
2.136283e-01 2.136644e-01 9.626116e+00 4.673879e-02 2.265891e+01
2.167699e-01 2.168107e-01 9.361904e+00 5.935150e-02 2.265891e+01
2.199115e-01 2.199591e-01 9.256732e+00 4.681211e-02 2.265891e+01
2.230531e-01 2.230742e-01 9.060225e+00 4.256387e-02 2.265891e+01
2.261947e-01 2.262094e-01 8.795777e+00 7.143525e-02 2.265891e+01
2.293363e-01 2.293577e-01 8.654783e+00 6.775613e-02 2.265891e+01
2.324779e-01 2.325128e-01 8.498225e+00 4.976389e-02 2.265891e+01
2.356194e-01 2.356571e-01 8.231205e+00 3.963630e-02 2.265891e+01
2.387610e-01 2.387902e-01 8.188661e+00 4.260144e-02 2.265891e+01
2.419026e-01 2.419406e-01 7.973417e+00 7.716955e-02 2.265891e+01
2.450442e-01 2.450751e-01 7.800016e+00 1.562390e-02 2.265891e+01
2.481858e-01 2.481998e-01 7.661012e+00 4.236555e-02 2.265891e+01
2.513274e-01 2.513331e-01 7.534807e+00 4.090980e-02 2.265891e+01
2.544690e-01 2.544823e-01 7.298954e+00 4.143631e-02 2.265891e+01
2.576106e-01 2.576375e-01 7.184506e+00 1.484754e-02 2.265891e+01
2.607522e-01 2.607833e-01 7.161290e+00 4.275426e-02 2.265891e+01
2.638938e-01 2.639145e-01 6.953900e+00 3.844101e-02 2.265891e+01
2.670354e-01 2.670582e-01 6.814691e+00 5.022652e-02 2.265891e+01
2.701770e-01 2.702154e-01 6.734391e+00 4.279904e-02 2.265891e+01
2.733186e-01 2.733490e-01 6.633958e+00 3.387638e-02 2.265891e+01
2.764602e-01 2.764800e-01 6.398945e+00 4.177900e-02 2.265891e+01
2.796017e-01 2.796222e-01 6.346163e+00 3.411804e-02 2.265891e+01
2.827433e-01 2.827775e-01 6.201663e+00 2.895995e-02 2.265891e+01
2.858849e-01 2.859274e-01 6.129733e+00 4.836700e-02 2.265891e+01
2.890265e-01 2.890615e-01 6.048791e+00 3.843069e-02 2.265891e+01
2.921681e-01 2.922029e-01 5.946300e+00 5.048537e-02 2.265891e+01
