#  k              avgk        avgP-pSN       s_avgP       SN
# 
3.141593e-03 4.009122e-03 1.322350e+02 2.004292e+01 2.302703e+01
6.283185e-03 7.008279e-03 2.152774e+02 9.222290e+00 2.302703e+01
9.424778e-03 9.846258e-03 2.508840e+02 6.690144e+00 2.302703e+01
1.256637e-02 1.275670e-02 2.698870e+02 9.416233e+00 2.302703e+01
1.570796e-02 1.601454e-02 3.008737e+02 7.221606e+00 2.302703e+01
1.884956e-02 1.923262e-02 2.720111e+02 9.691091e+00 2.302703e+01
2.199115e-02 2.221655e-02 2.797976e+02 3.512991e+00 2.302703e+01
2.513274e-02 2.521154e-02 2.521342e+02 5.944337e+00 2.302703e+01
2.827433e-02 2.845465e-02 2.373700e+02 3.040467e+00 2.302703e+01
3.141593e-02 3.170923e-02 2.201319e+02 2.883896e+00 2.302703e+01
3.455752e-02 3.474996e-02 2.038466e+02 3.062059e+00 2.302703e+01
3.769911e-02 3.779067e-02 1.904483e+02 1.674810e+00 2.302703e+01
4.084070e-02 4.098137e-02 1.741254e+02 1.353698e+00 2.302703e+01
4.398230e-02 4.415116e-02 1.613113e+02 1.891049e+00 2.302703e+01
4.712389e-02 4.717609e-02 1.512586e+02 1.616139e+00 2.302703e+01
5.026548e-02 5.028003e-02 1.431500e+02 1.068796e+00 2.302703e+01
5.340708e-02 5.350694e-02 1.392936e+02 1.059490e+00 2.302703e+01
5.654867e-02 5.671367e-02 1.341159e+02 8.474932e-01 2.302703e+01
5.969026e-02 5.980448e-02 1.281533e+02 8.618935e-01 2.302703e+01
6.283185e-02 6.289022e-02 1.237764e+02 1.214990e+00 2.302703e+01
6.597345e-02 6.607451e-02 1.211295e+02 1.015110e+00 2.302703e+01
6.911504e-02 6.922816e-02 1.147039e+02 7.414019e-01 2.302703e+01
7.225663e-02 7.232486e-02 1.079482e+02 6.566970e-01 2.302703e+01
7.539822e-02 7.542675e-02 1.037318e+02 5.075551e-01 2.302703e+01
7.853982e-02 7.858645e-02 9.740887e+01 4.142770e-01 2.302703e+01
8.168141e-02 8.177089e-02 9.155650e+01 4.989012e-01 2.302703e+01
8.482300e-02 8.491281e-02 8.602803e+01 7.385305e-01 2.302703e+01
8.796459e-02 8.805068e-02 8.190766e+01 3.641421e-01 2.302703e+01
9.110619e-02 9.119993e-02 7.574935e+01 4.227085e-01 2.302703e+01
9.424778e-02 9.432535e-02 7.139027e+01 4.393622e-01 2.302703e+01
9.738937e-02 9.745408e-02 6.730187e+01 2.553380e-01 2.302703e+01
1.005310e-01 1.005713e-01 6.475658e+01 3.421720e-01 2.302703e+01
1.036726e-01 1.036977e-01 6.194828e+01 2.729130e-01 2.302703e+01
1.068141e-01 1.068695e-01 5.945870e+01 2.908259e-01 2.302703e+01
1.099557e-01 1.100165e-01 5.807854e+01 2.649017e-01 2.302703e+01
1.130973e-01 1.131465e-01 5.619321e+01 2.132328e-01 2.302703e+01
1.162389e-01 1.162993e-01 5.499181e+01 2.764131e-01 2.302703e+01
1.193805e-01 1.194446e-01 5.279797e+01 1.900590e-01 2.302703e+01
1.225221e-01 1.225609e-01 5.194790e+01 3.095555e-01 2.302703e+01
1.256637e-01 1.256869e-01 5.027119e+01 1.728000e-01 2.302703e+01
1.288053e-01 1.288535e-01 4.874807e+01 2.068412e-01 2.302703e+01
1.319469e-01 1.320102e-01 4.738177e+01 1.481670e-01 2.302703e+01
1.350885e-01 1.351449e-01 4.540442e+01 1.885012e-01 2.302703e+01
1.382301e-01 1.382808e-01 4.386546e+01 1.882345e-01 2.302703e+01
1.413717e-01 1.414349e-01 4.232092e+01 1.710582e-01 2.302703e+01
1.445133e-01 1.445743e-01 4.061770e+01 2.284438e-01 2.302703e+01
1.476549e-01 1.476762e-01 3.880430e+01 1.636322e-01 2.302703e+01
1.507964e-01 1.508038e-01 3.731879e+01 9.766897e-02 2.302703e+01
1.539380e-01 1.539691e-01 3.577020e+01 2.257009e-01 2.302703e+01
1.570796e-01 1.571380e-01 3.482604e+01 1.825863e-01 2.302703e+01
1.602212e-01 1.602731e-01 3.350888e+01 1.268055e-01 2.302703e+01
1.633628e-01 1.634064e-01 3.260477e+01 1.165695e-01 2.302703e+01
1.665044e-01 1.665619e-01 3.157946e+01 1.675769e-01 2.302703e+01
1.696460e-01 1.697023e-01 3.082053e+01 8.570523e-02 2.302703e+01
1.727876e-01 1.728196e-01 3.018452e+01 5.873717e-02 2.302703e+01
1.759292e-01 1.759404e-01 2.959795e+01 1.628346e-01 2.302703e+01
1.790708e-01 1.791016e-01 2.874954e+01 1.096243e-01 2.302703e+01
1.822124e-01 1.822559e-01 2.821240e+01 1.151829e-01 2.302703e+01
1.853540e-01 1.853820e-01 2.746262e+01 9.478221e-02 2.302703e+01
1.884956e-01 1.885270e-01 2.678034e+01 1.232874e-01 2.302703e+01
1.916372e-01 1.916794e-01 2.624628e+01 9.030189e-02 2.302703e+01
1.947787e-01 1.948257e-01 2.556910e+01 1.008850e-01 2.302703e+01
1.979203e-01 1.979385e-01 2.480992e+01 6.308150e-02 2.302703e+01
2.010619e-01 2.010563e-01 2.435388e+01 1.562001e-01 2.302703e+01
2.042035e-01 2.042269e-01 2.359210e+01 6.592629e-02 2.302703e+01
2.073451e-01 2.073848e-01 2.307407e+01 8.642718e-02 2.302703e+01
2.104867e-01 2.105272e-01 2.235653e+01 1.150781e-01 2.302703e+01
2.136283e-01 2.136644e-01 2.184009e+01 5.807878e-02 2.302703e+01
2.167699e-01 2.168107e-01 2.127874e+01 9.559907e-02 2.302703e+01
2.199115e-01 2.199591e-01 2.075786e+01 4.729751e-02 2.302703e+01
2.230531e-01 2.230742e-01 2.037634e+01 9.981642e-02 2.302703e+01
2.261947e-01 2.262094e-01 1.993865e+01 5.227293e-02 2.302703e+01
2.293363e-01 2.293577e-01 1.937382e+01 6.213374e-02 2.302703e+01
2.324779e-01 2.325128e-01 1.908691e+01 4.269836e-02 2.302703e+01
2.356194e-01 2.356571e-01 1.854024e+01 6.604847e-02 2.302703e+01
2.387610e-01 2.387902e-01 1.818021e+01 5.555744e-02 2.302703e+01
2.419026e-01 2.419406e-01 1.785953e+01 7.285751e-02 2.302703e+01
2.450442e-01 2.450751e-01 1.744787e+01 5.158305e-02 2.302703e+01
2.481858e-01 2.481998e-01 1.718190e+01 7.441173e-02 2.302703e+01
2.513274e-01 2.513331e-01 1.687899e+01 5.404178e-02 2.302703e+01
2.544690e-01 2.544823e-01 1.640221e+01 5.955458e-02 2.302703e+01
2.576106e-01 2.576375e-01 1.607595e+01 7.155637e-02 2.302703e+01
2.607522e-01 2.607833e-01 1.580137e+01 5.245320e-02 2.302703e+01
2.638938e-01 2.639145e-01 1.542577e+01 4.394540e-02 2.302703e+01
2.670354e-01 2.670582e-01 1.520866e+01 4.302193e-02 2.302703e+01
2.701770e-01 2.702154e-01 1.481014e+01 5.265053e-02 2.302703e+01
2.733186e-01 2.733490e-01 1.455256e+01 4.816354e-02 2.302703e+01
2.764602e-01 2.764800e-01 1.437003e+01 4.366916e-02 2.302703e+01
2.796017e-01 2.796222e-01 1.400890e+01 4.521531e-02 2.302703e+01
2.827433e-01 2.827775e-01 1.381499e+01 4.681269e-02 2.302703e+01
2.858849e-01 2.859274e-01 1.346317e+01 4.380042e-02 2.302703e+01
2.890265e-01 2.890615e-01 1.329132e+01 5.201883e-02 2.302703e+01
2.921681e-01 2.922029e-01 1.291503e+01 3.560993e-02 2.302703e+01
2.953097e-01 2.953348e-01 1.278768e+01 5.212985e-02 2.302703e+01
2.984513e-01 2.984582e-01 1.263199e+01 4.934081e-02 2.302703e+01
3.015929e-01 3.015856e-01 1.224393e+01 2.568405e-02 2.302703e+01
3.047345e-01 3.047346e-01 1.200980e+01 2.115100e-02 2.302703e+01
3.078761e-01 3.079061e-01 1.190008e+01 2.233009e-02 2.302703e+01
3.110177e-01 3.110513e-01 1.177887e+01 5.282454e-02 2.302703e+01
3.141593e-01 3.141832e-01 1.146732e+01 4.321521e-02 2.302703e+01
3.173009e-01 3.173233e-01 1.122357e+01 4.409828e-02 2.302703e+01
3.204425e-01 3.204700e-01 1.113236e+01 5.999651e-02 2.302703e+01
3.235840e-01 3.236188e-01 1.089335e+01 3.876950e-02 2.302703e+01
3.267256e-01 3.267386e-01 1.069891e+01 6.069918e-02 2.302703e+01
3.298672e-01 3.298821e-01 1.058075e+01 3.901228e-02 2.302703e+01
3.330088e-01 3.330378e-01 1.040055e+01 3.320259e-02 2.302703e+01
3.361504e-01 3.361703e-01 1.023156e+01 1.904716e-02 2.302703e+01
3.392920e-01 3.393042e-01 1.007579e+01 4.916789e-02 2.302703e+01
3.424336e-01 3.424570e-01 9.850646e+00 2.624762e-02 2.302703e+01
