#  k              avgk        avgP-pSN       s_avgP       SN
# 
3.141593e-03 4.009122e-03 9.664811e+01 1.602900e+01 4.770283e+01
6.283185e-03 7.008279e-03 1.272170e+02 1.102995e+01 4.770283e+01
9.424778e-03 9.846258e-03 1.537003e+02 4.374199e+00 4.770283e+01
1.256637e-02 1.275670e-02 1.600818e+02 6.386779e+00 4.770283e+01
1.570796e-02 1.601454e-02 1.770378e+02 5.306137e+00 4.770283e+01
1.884956e-02 1.923262e-02 1.615907e+02 6.071205e+00 4.770283e+01
2.199115e-02 2.221655e-02 1.646419e+02 3.996169e+00 4.770283e+01
2.513274e-02 2.521154e-02 1.479923e+02 3.644367e+00 4.770283e+01
2.827433e-02 2.845465e-02 1.386610e+02 2.160717e+00 4.770283e+01
3.141593e-02 3.170923e-02 1.282899e+02 1.718061e+00 4.770283e+01
3.455752e-02 3.474996e-02 1.189378e+02 2.049382e+00 4.770283e+01
3.769911e-02 3.779067e-02 1.115676e+02 1.311589e+00 4.770283e+01
4.084070e-02 4.098137e-02 1.038582e+02 1.089428e+00 4.770283e+01
4.398230e-02 4.415116e-02 9.734549e+01 1.334007e+00 4.770283e+01
4.712389e-02 4.717609e-02 8.932225e+01 1.119669e+00 4.770283e+01
5.026548e-02 5.028003e-02 8.564790e+01 8.612505e-01 4.770283e+01
5.340708e-02 5.350694e-02 8.363695e+01 1.296980e+00 4.770283e+01
5.654867e-02 5.671367e-02 8.053717e+01 1.181597e+00 4.770283e+01
5.969026e-02 5.980448e-02 7.737886e+01 7.343800e-01 4.770283e+01
6.283185e-02 6.289022e-02 7.403004e+01 9.305081e-01 4.770283e+01
6.597345e-02 6.607451e-02 7.349651e+01 6.483980e-01 4.770283e+01
6.911504e-02 6.922816e-02 6.907650e+01 3.173653e-01 4.770283e+01
7.225663e-02 7.232486e-02 6.553497e+01 2.700974e-01 4.770283e+01
7.539822e-02 7.542675e-02 6.261522e+01 4.033784e-01 4.770283e+01
