#  k              avgk        avgP-pSN       s_avgP       SN
# 
2.513274e-01 2.513331e-01 9.455772e+00 5.496945e-02 2.324421e+01
2.544690e-01 2.544823e-01 9.255499e+00 5.574063e-02 2.324421e+01
2.576106e-01 2.576375e-01 9.091777e+00 1.828734e-02 2.324421e+01
2.607522e-01 2.607833e-01 8.902485e+00 4.175222e-02 2.324421e+01
2.638938e-01 2.639145e-01 8.775550e+00 4.848892e-02 2.324421e+01
2.670354e-01 2.670582e-01 8.598357e+00 3.926853e-02 2.324421e+01
2.701770e-01 2.702154e-01 8.389311e+00 4.838960e-02 2.324421e+01
2.733186e-01 2.733490e-01 8.313510e+00 5.001628e-02 2.324421e+01
2.764602e-01 2.764800e-01 8.088535e+00 6.118799e-02 2.324421e+01
2.796017e-01 2.796222e-01 7.960083e+00 4.251734e-02 2.324421e+01
2.827433e-01 2.827775e-01 7.889906e+00 3.076577e-02 2.324421e+01
2.858849e-01 2.859274e-01 7.765718e+00 2.880448e-02 2.324421e+01
2.890265e-01 2.890615e-01 7.482895e+00 4.772211e-02 2.324421e+01
2.921681e-01 2.922029e-01 7.356088e+00 6.186220e-02 2.324421e+01
2.953097e-01 2.953348e-01 7.296436e+00 4.871936e-02 2.324421e+01
2.984513e-01 2.984582e-01 7.194793e+00 5.296671e-02 2.324421e+01
3.015929e-01 3.015856e-01 7.082220e+00 4.278576e-02 2.324421e+01
3.047345e-01 3.047346e-01 6.930887e+00 2.952485e-02 2.324421e+01
3.078761e-01 3.079061e-01 6.817985e+00 3.892851e-02 2.324421e+01
3.110177e-01 3.110513e-01 6.736449e+00 3.182112e-02 2.324421e+01
3.141593e-01 3.141832e-01 6.617898e+00 4.016213e-02 2.324421e+01
3.173009e-01 3.173233e-01 6.536306e+00 4.847219e-02 2.324421e+01
3.204425e-01 3.204700e-01 6.449338e+00 2.652005e-02 2.324421e+01
3.235840e-01 3.236188e-01 6.283273e+00 4.720691e-02 2.324421e+01
3.267256e-01 3.267386e-01 6.206420e+00 3.988840e-02 2.324421e+01
3.298672e-01 3.298821e-01 6.120324e+00 3.433914e-02 2.324421e+01
3.330088e-01 3.330378e-01 6.076171e+00 2.847933e-02 2.324421e+01
3.361504e-01 3.361703e-01 5.928050e+00 3.296189e-02 2.324421e+01
3.392920e-01 3.393042e-01 5.832351e+00 1.992249e-02 2.324421e+01
3.424336e-01 3.424570e-01 5.811176e+00 3.304490e-02 2.324421e+01
3.455752e-01 3.456128e-01 5.723934e+00 3.930256e-02 2.324421e+01
3.487168e-01 3.487358e-01 5.623067e+00 3.544653e-02 2.324421e+01
3.518584e-01 3.518656e-01 5.472943e+00 3.805512e-02 2.324421e+01
3.550000e-01 3.550111e-01 5.397472e+00 3.862271e-02 2.324421e+01
3.581416e-01 3.581628e-01 5.342319e+00 4.248911e-02 2.324421e+01
3.612832e-01 3.613007e-01 5.287474e+00 2.789515e-02 2.324421e+01
3.644247e-01 3.644361e-01 5.158264e+00 1.850917e-02 2.324421e+01
3.675663e-01 3.675942e-01 5.082612e+00 3.119512e-02 2.324421e+01
3.707079e-01 3.707345e-01 5.062938e+00 2.656955e-02 2.324421e+01
3.738495e-01 3.738555e-01 4.950948e+00 2.677023e-02 2.324421e+01
3.769911e-01 3.769945e-01 4.927287e+00 3.552071e-02 2.324421e+01
3.801327e-01 3.801460e-01 4.835392e+00 3.444191e-02 2.324421e+01
3.832743e-01 3.832949e-01 4.734173e+00 2.440743e-02 2.324421e+01
3.864159e-01 3.864372e-01 4.696724e+00 3.840616e-02 2.324421e+01
3.895575e-01 3.895750e-01 4.661432e+00 3.788317e-02 2.324421e+01
3.926991e-01 3.927261e-01 4.588118e+00 2.665807e-02 2.324421e+01
3.958407e-01 3.958707e-01 4.455579e+00 2.738040e-02 2.324421e+01
3.989823e-01 3.989973e-01 4.433712e+00 2.575407e-02 2.324421e+01
4.021239e-01 4.021289e-01 4.418582e+00 1.865694e-02 2.324421e+01
4.052655e-01 4.052812e-01 4.363250e+00 1.583987e-02 2.324421e+01
4.084070e-01 4.084324e-01 4.305924e+00 3.204785e-02 2.324421e+01
4.115486e-01 4.115631e-01 4.203121e+00 1.608147e-02 2.324421e+01
4.146902e-01 4.147058e-01 4.224541e+00 1.889563e-02 2.324421e+01
4.178318e-01 4.178560e-01 4.129920e+00 3.369207e-02 2.324421e+01
4.209734e-01 4.209977e-01 4.098031e+00 3.469588e-02 2.324421e+01
