#  k              avgk        avgP-pSN       s_avgP       SN
# 
3.141593e-03 4.009122e-03 1.042235e+02 1.167291e+01 4.735722e+01
6.283185e-03 7.008279e-03 1.545190e+02 6.712885e+00 4.735722e+01
9.424778e-03 9.846258e-03 1.880978e+02 6.692261e+00 4.735722e+01
1.256637e-02 1.275670e-02 2.028538e+02 7.956497e+00 4.735722e+01
1.570796e-02 1.601454e-02 2.181201e+02 5.143699e+00 4.735722e+01
1.884956e-02 1.923262e-02 1.989021e+02 7.794600e+00 4.735722e+01
2.199115e-02 2.221655e-02 2.099899e+02 1.782470e+00 4.735722e+01
2.513274e-02 2.521154e-02 1.878023e+02 4.841003e+00 4.735722e+01
2.827433e-02 2.845465e-02 1.712524e+02 2.973534e+00 4.735722e+01
3.141593e-02 3.170923e-02 1.629249e+02 2.521865e+00 4.735722e+01
3.455752e-02 3.474996e-02 1.520824e+02 3.320761e+00 4.735722e+01
3.769911e-02 3.779067e-02 1.377249e+02 1.025388e+00 4.735722e+01
4.084070e-02 4.098137e-02 1.314640e+02 1.314771e+00 4.735722e+01
4.398230e-02 4.415116e-02 1.203900e+02 1.496868e+00 4.735722e+01
4.712389e-02 4.717609e-02 1.130719e+02 1.740557e+00 4.735722e+01
5.026548e-02 5.028003e-02 1.076021e+02 1.045281e+00 4.735722e+01
5.340708e-02 5.350694e-02 1.047593e+02 1.137253e+00 4.735722e+01
5.654867e-02 5.671367e-02 1.014453e+02 1.514224e+00 4.735722e+01
5.969026e-02 5.980448e-02 9.576160e+01 5.936016e-01 4.735722e+01
6.283185e-02 6.289022e-02 9.541316e+01 9.799239e-01 4.735722e+01
6.597345e-02 6.607451e-02 9.185432e+01 7.221614e-01 4.735722e+01
6.911504e-02 6.922816e-02 8.760517e+01 5.024944e-01 4.735722e+01
7.225663e-02 7.232486e-02 8.300296e+01 6.096559e-01 4.735722e+01
7.539822e-02 7.542675e-02 7.829732e+01 3.345547e-01 4.735722e+01
7.853982e-02 7.858645e-02 7.394176e+01 6.460162e-01 4.735722e+01
8.168141e-02 8.177089e-02 6.993756e+01 6.453341e-01 4.735722e+01
8.482300e-02 8.491281e-02 6.597029e+01 5.918104e-01 4.735722e+01
8.796459e-02 8.805068e-02 6.322424e+01 3.089608e-01 4.735722e+01
9.110619e-02 9.119993e-02 5.788713e+01 4.842672e-01 4.735722e+01
9.424778e-02 9.432535e-02 5.511456e+01 4.015908e-01 4.735722e+01
9.738937e-02 9.745408e-02 5.184259e+01 3.624355e-01 4.735722e+01
1.005310e-01 1.005713e-01 4.949293e+01 2.584545e-01 4.735722e+01
1.036726e-01 1.036977e-01 4.771977e+01 4.244128e-01 4.735722e+01
1.068141e-01 1.068695e-01 4.635045e+01 3.057233e-01 4.735722e+01
1.099557e-01 1.100165e-01 4.470760e+01 3.011877e-01 4.735722e+01
1.130973e-01 1.131465e-01 4.393243e+01 3.993385e-01 4.735722e+01
1.162389e-01 1.162993e-01 4.278279e+01 3.624874e-01 4.735722e+01
1.193805e-01 1.194446e-01 4.124994e+01 2.824552e-01 4.735722e+01
1.225221e-01 1.225609e-01 4.089198e+01 4.685500e-01 4.735722e+01
1.256637e-01 1.256869e-01 4.004210e+01 2.388697e-01 4.735722e+01
1.288053e-01 1.288535e-01 3.891609e+01 2.846894e-01 4.735722e+01
1.319469e-01 1.320102e-01 3.715319e+01 1.289495e-01 4.735722e+01
1.350885e-01 1.351449e-01 3.598763e+01 2.706771e-01 4.735722e+01
1.382301e-01 1.382808e-01 3.529118e+01 2.678257e-01 4.735722e+01
1.413717e-01 1.414349e-01 3.359036e+01 2.229403e-01 4.735722e+01
1.445133e-01 1.445743e-01 3.258758e+01 2.241621e-01 4.735722e+01
1.476549e-01 1.476762e-01 3.082401e+01 3.102712e-01 4.735722e+01
1.507964e-01 1.508038e-01 2.998749e+01 1.712569e-01 4.735722e+01
1.539380e-01 1.539691e-01 2.832220e+01 1.564635e-01 4.735722e+01
1.570796e-01 1.571380e-01 2.756847e+01 9.437552e-02 4.735722e+01
1.602212e-01 1.602731e-01 2.653178e+01 2.123249e-01 4.735722e+01
1.633628e-01 1.634064e-01 2.596131e+01 1.702059e-01 4.735722e+01
1.665044e-01 1.665619e-01 2.520063e+01 2.850823e-01 4.735722e+01
1.696460e-01 1.697023e-01 2.448662e+01 2.036790e-01 4.735722e+01
1.727876e-01 1.728196e-01 2.407580e+01 1.529913e-01 4.735722e+01
1.759292e-01 1.759404e-01 2.399434e+01 1.594465e-01 4.735722e+01
1.790708e-01 1.791016e-01 2.339815e+01 1.374204e-01 4.735722e+01
1.822124e-01 1.822559e-01 2.290530e+01 1.609755e-01 4.735722e+01
1.853540e-01 1.853820e-01 2.258657e+01 1.283178e-01 4.735722e+01
1.884956e-01 1.885270e-01 2.201613e+01 1.329174e-01 4.735722e+01
1.916372e-01 1.916794e-01 2.162715e+01 6.742137e-02 4.735722e+01
1.947787e-01 1.948257e-01 2.093827e+01 1.724028e-01 4.735722e+01
1.979203e-01 1.979385e-01 2.050793e+01 1.013498e-01 4.735722e+01
2.010619e-01 2.010563e-01 2.003454e+01 9.280159e-02 4.735722e+01
2.042035e-01 2.042269e-01 1.922902e+01 1.080195e-01 4.735722e+01
2.073451e-01 2.073848e-01 1.886605e+01 1.035260e-01 4.735722e+01
2.104867e-01 2.105272e-01 1.827903e+01 1.370378e-01 4.735722e+01
2.136283e-01 2.136644e-01 1.792940e+01 1.166872e-01 4.735722e+01
2.167699e-01 2.168107e-01 1.762439e+01 1.165132e-01 4.735722e+01
2.199115e-01 2.199591e-01 1.695428e+01 1.136782e-01 4.735722e+01
2.230531e-01 2.230742e-01 1.660137e+01 1.380464e-01 4.735722e+01
2.261947e-01 2.262094e-01 1.648539e+01 1.005324e-01 4.735722e+01
2.293363e-01 2.293577e-01 1.591561e+01 1.246953e-01 4.735722e+01
2.324779e-01 2.325128e-01 1.587351e+01 7.067530e-02 4.735722e+01
2.356194e-01 2.356571e-01 1.529088e+01 1.220469e-01 4.735722e+01
2.387610e-01 2.387902e-01 1.510029e+01 1.546866e-01 4.735722e+01
2.419026e-01 2.419406e-01 1.493535e+01 1.027445e-01 4.735722e+01
2.450442e-01 2.450751e-01 1.465595e+01 9.351310e-02 4.735722e+01
2.481858e-01 2.481998e-01 1.449975e+01 9.702124e-02 4.735722e+01
2.513274e-01 2.513331e-01 1.409839e+01 8.808077e-02 4.735722e+01
2.544690e-01 2.544823e-01 1.375939e+01 4.987616e-02 4.735722e+01
2.576106e-01 2.576375e-01 1.360477e+01 7.307438e-02 4.735722e+01
2.607522e-01 2.607833e-01 1.343441e+01 1.493904e-01 4.735722e+01
2.638938e-01 2.639145e-01 1.314559e+01 7.747926e-02 4.735722e+01
2.670354e-01 2.670582e-01 1.269991e+01 4.987270e-02 4.735722e+01
2.701770e-01 2.702154e-01 1.267532e+01 9.927906e-02 4.735722e+01
2.733186e-01 2.733490e-01 1.235325e+01 9.755417e-02 4.735722e+01
2.764602e-01 2.764800e-01 1.221868e+01 8.184121e-02 4.735722e+01
2.796017e-01 2.796222e-01 1.184799e+01 8.027695e-02 4.735722e+01
2.827433e-01 2.827775e-01 1.176569e+01 5.267363e-02 4.735722e+01
2.858849e-01 2.859274e-01 1.153193e+01 9.251916e-02 4.735722e+01
2.890265e-01 2.890615e-01 1.123885e+01 8.589604e-02 4.735722e+01
2.921681e-01 2.922029e-01 1.111370e+01 6.432182e-02 4.735722e+01
2.953097e-01 2.953348e-01 1.089624e+01 8.646587e-02 4.735722e+01
2.984513e-01 2.984582e-01 1.077131e+01 7.274605e-02 4.735722e+01
3.015929e-01 3.015856e-01 1.071889e+01 5.084334e-02 4.735722e+01
3.047345e-01 3.047346e-01 1.042932e+01 7.484026e-02 4.735722e+01
3.078761e-01 3.079061e-01 1.024322e+01 7.425650e-02 4.735722e+01
3.110177e-01 3.110513e-01 1.012608e+01 5.510369e-02 4.735722e+01
3.141593e-01 3.141832e-01 1.014647e+01 7.880465e-02 4.735722e+01
3.173009e-01 3.173233e-01 9.740197e+00 9.551507e-02 4.735722e+01
3.204425e-01 3.204700e-01 9.787003e+00 6.222696e-02 4.735722e+01
3.235840e-01 3.236188e-01 9.672033e+00 4.894427e-02 4.735722e+01
3.267256e-01 3.267386e-01 9.365750e+00 7.545492e-02 4.735722e+01
3.298672e-01 3.298821e-01 9.287993e+00 5.601914e-02 4.735722e+01
3.330088e-01 3.330378e-01 9.103369e+00 4.541563e-02 4.735722e+01
3.361504e-01 3.361703e-01 8.985130e+00 4.516617e-02 4.735722e+01
3.392920e-01 3.393042e-01 8.806222e+00 5.287262e-02 4.735722e+01
3.424336e-01 3.424570e-01 8.759160e+00 7.023311e-02 4.735722e+01
3.455752e-01 3.456128e-01 8.574255e+00 4.627846e-02 4.735722e+01
3.487168e-01 3.487358e-01 8.461708e+00 5.953022e-02 4.735722e+01
3.518584e-01 3.518656e-01 8.298042e+00 5.684328e-02 4.735722e+01
3.550000e-01 3.550111e-01 8.293560e+00 6.790266e-02 4.735722e+01
3.581416e-01 3.581628e-01 8.201397e+00 8.426690e-02 4.735722e+01
3.612832e-01 3.613007e-01 8.168345e+00 6.057788e-02 4.735722e+01
3.644247e-01 3.644361e-01 7.863671e+00 4.194691e-02 4.735722e+01
3.675663e-01 3.675942e-01 7.837667e+00 4.740622e-02 4.735722e+01
3.707079e-01 3.707345e-01 7.788808e+00 5.752097e-02 4.735722e+01
3.738495e-01 3.738555e-01 7.622299e+00 6.434106e-02 4.735722e+01
3.769911e-01 3.769945e-01 7.512378e+00 5.950095e-02 4.735722e+01
3.801327e-01 3.801460e-01 7.345104e+00 4.774736e-02 4.735722e+01
3.832743e-01 3.832949e-01 7.219487e+00 5.140681e-02 4.735722e+01
3.864159e-01 3.864372e-01 7.267814e+00 4.054541e-02 4.735722e+01
3.895575e-01 3.895750e-01 7.174221e+00 7.507966e-02 4.735722e+01
3.926991e-01 3.927261e-01 7.003672e+00 4.786606e-02 4.735722e+01
3.958407e-01 3.958707e-01 6.912396e+00 6.153185e-02 4.735722e+01
3.989823e-01 3.989973e-01 6.817828e+00 5.670810e-02 4.735722e+01
4.021239e-01 4.021289e-01 6.780289e+00 4.497487e-02 4.735722e+01
4.052655e-01 4.052812e-01 6.635717e+00 4.171656e-02 4.735722e+01
4.084070e-01 4.084324e-01 6.586207e+00 5.016815e-02 4.735722e+01
4.115486e-01 4.115631e-01 6.507020e+00 5.308725e-02 4.735722e+01
4.146902e-01 4.147058e-01 6.408580e+00 4.950886e-02 4.735722e+01
4.178318e-01 4.178560e-01 6.326427e+00 6.915835e-02 4.735722e+01
4.209734e-01 4.209977e-01 6.281535e+00 5.553866e-02 4.735722e+01
4.241150e-01 4.241299e-01 6.144094e+00 4.156238e-02 4.735722e+01
4.272566e-01 4.272653e-01 6.100281e+00 4.149478e-02 4.735722e+01
4.303982e-01 4.304221e-01 6.072975e+00 4.514474e-02 4.735722e+01
4.335398e-01 4.335700e-01 5.917413e+00 5.394009e-02 4.735722e+01
4.366814e-01 4.366977e-01 5.929820e+00 4.436588e-02 4.735722e+01
4.398230e-01 4.398326e-01 5.911815e+00 4.408952e-02 4.735722e+01
4.429646e-01 4.429785e-01 5.773254e+00 4.879066e-02 4.735722e+01
4.461062e-01 4.461270e-01 5.646766e+00 2.228748e-02 4.735722e+01
4.492477e-01 4.492612e-01 5.556821e+00 2.800152e-02 4.735722e+01
4.523893e-01 4.523875e-01 5.561922e+00 6.783123e-02 4.735722e+01
4.555309e-01 4.555308e-01 5.420920e+00 5.324681e-02 4.735722e+01
4.586725e-01 4.586829e-01 5.415223e+00 3.323211e-02 4.735722e+01
4.618141e-01 4.618286e-01 5.373119e+00 5.708057e-02 4.735722e+01
4.649557e-01 4.649727e-01 5.313828e+00 3.172827e-02 4.735722e+01
4.680973e-01 4.681226e-01 5.267741e+00 4.478758e-02 4.735722e+01
4.712389e-01 4.712698e-01 5.111087e+00 3.067433e-02 4.735722e+01
4.743805e-01 4.744061e-01 5.148770e+00 5.163796e-02 4.735722e+01
4.775221e-01 4.775360e-01 5.043307e+00 3.406192e-02 4.735722e+01
4.806637e-01 4.806779e-01 5.067628e+00 2.877281e-02 4.735722e+01
4.838053e-01 4.838277e-01 4.972625e+00 4.315226e-02 4.735722e+01
4.869469e-01 4.869663e-01 4.881263e+00 5.134878e-02 4.735722e+01
4.900885e-01 4.900998e-01 4.913524e+00 4.284595e-02 4.735722e+01
4.932300e-01 4.932447e-01 4.838503e+00 4.053402e-02 4.735722e+01
4.963716e-01 4.963900e-01 4.851147e+00 3.635904e-02 4.735722e+01
4.995132e-01 4.995184e-01 4.693432e+00 4.237463e-02 4.735722e+01
5.026548e-01 5.026554e-01 4.658527e+00 5.118958e-02 4.735722e+01
5.057964e-01 5.058132e-01 4.627876e+00 5.503011e-02 4.735722e+01
5.089380e-01 5.089592e-01 4.567294e+00 4.006603e-02 4.735722e+01
5.120796e-01 5.120992e-01 4.511917e+00 2.847651e-02 4.735722e+01
5.152212e-01 5.152366e-01 4.446773e+00 3.053197e-02 4.735722e+01
5.183628e-01 5.183792e-01 4.382918e+00 3.058545e-02 4.735722e+01
5.215044e-01 5.215170e-01 4.404161e+00 4.030104e-02 4.735722e+01
5.246460e-01 5.246512e-01 4.392931e+00 2.588262e-02 4.735722e+01
5.277876e-01 5.277969e-01 4.210494e+00 3.100921e-02 4.735722e+01
5.309292e-01 5.309361e-01 4.252453e+00 2.979093e-02 4.735722e+01
5.340708e-01 5.340894e-01 4.264905e+00 4.111129e-02 4.735722e+01
5.372123e-01 5.372354e-01 4.094287e+00 3.862057e-02 4.735722e+01
5.403539e-01 5.403689e-01 4.118114e+00 3.052362e-02 4.735722e+01
5.434955e-01 5.435106e-01 4.053682e+00 2.440450e-02 4.735722e+01
5.466371e-01 5.466576e-01 4.005693e+00 5.958036e-02 4.735722e+01
5.497787e-01 5.497943e-01 4.034923e+00 4.234838e-02 4.735722e+01
5.529203e-01 5.529241e-01 3.883978e+00 3.093295e-02 4.735722e+01
5.560619e-01 5.560675e-01 3.905465e+00 2.626871e-02 4.735722e+01
5.592035e-01 5.592146e-01 3.862564e+00 5.157095e-02 4.735722e+01
