#  k              avgk        avgP-pSN       s_avgP       SN
# 
3.141593e-03 4.009122e-03 1.790565e+02 2.766292e+01 4.661511e+01
6.283185e-03 7.008279e-03 2.792247e+02 1.511227e+01 4.661511e+01
9.424778e-03 9.846258e-03 3.286535e+02 1.660414e+01 4.661511e+01
1.256637e-02 1.275670e-02 3.535849e+02 1.127659e+01 4.661511e+01
1.570796e-02 1.601454e-02 3.951007e+02 9.282672e+00 4.661511e+01
1.884956e-02 1.923262e-02 3.557001e+02 1.348582e+01 4.661511e+01
2.199115e-02 2.221655e-02 3.694392e+02 5.891453e+00 4.661511e+01
2.513274e-02 2.521154e-02 3.284128e+02 7.282353e+00 4.661511e+01
2.827433e-02 2.845465e-02 3.151316e+02 5.221346e+00 4.661511e+01
3.141593e-02 3.170923e-02 2.918370e+02 3.575413e+00 4.661511e+01
3.455752e-02 3.474996e-02 2.681889e+02 4.038578e+00 4.661511e+01
3.769911e-02 3.779067e-02 2.542840e+02 2.537919e+00 4.661511e+01
4.084070e-02 4.098137e-02 2.330814e+02 1.542392e+00 4.661511e+01
4.398230e-02 4.415116e-02 2.162201e+02 3.288036e+00 4.661511e+01
4.712389e-02 4.717609e-02 2.024054e+02 1.968661e+00 4.661511e+01
5.026548e-02 5.028003e-02 1.936697e+02 1.569784e+00 4.661511e+01
5.340708e-02 5.350694e-02 1.873258e+02 1.211916e+00 4.661511e+01
5.654867e-02 5.671367e-02 1.838256e+02 1.564382e+00 4.661511e+01
5.969026e-02 5.980448e-02 1.716691e+02 1.116746e+00 4.661511e+01
6.283185e-02 6.289022e-02 1.676003e+02 1.903010e+00 4.661511e+01
6.597345e-02 6.607451e-02 1.642907e+02 1.821477e+00 4.661511e+01
6.911504e-02 6.922816e-02 1.574628e+02 8.766408e-01 4.661511e+01
7.225663e-02 7.232486e-02 1.486279e+02 8.644685e-01 4.661511e+01
7.539822e-02 7.542675e-02 1.427303e+02 6.827085e-01 4.661511e+01
7.853982e-02 7.858645e-02 1.358865e+02 8.286618e-01 4.661511e+01
8.168141e-02 8.177089e-02 1.273471e+02 6.554918e-01 4.661511e+01
8.482300e-02 8.491281e-02 1.192908e+02 7.780935e-01 4.661511e+01
8.796459e-02 8.805068e-02 1.139167e+02 5.791509e-01 4.661511e+01
9.110619e-02 9.119993e-02 1.052252e+02 5.862022e-01 4.661511e+01
9.424778e-02 9.432535e-02 9.937396e+01 4.856324e-01 4.661511e+01
9.738937e-02 9.745408e-02 9.417109e+01 3.878397e-01 4.661511e+01
1.005310e-01 1.005713e-01 9.008304e+01 6.075552e-01 4.661511e+01
1.036726e-01 1.036977e-01 8.697662e+01 5.807939e-01 4.661511e+01
1.068141e-01 1.068695e-01 8.350674e+01 3.751201e-01 4.661511e+01
1.099557e-01 1.100165e-01 8.224398e+01 4.033157e-01 4.661511e+01
1.130973e-01 1.131465e-01 7.901029e+01 3.597900e-01 4.661511e+01
1.162389e-01 1.162993e-01 7.883424e+01 4.152407e-01 4.661511e+01
1.193805e-01 1.194446e-01 7.542084e+01 3.798182e-01 4.661511e+01
1.225221e-01 1.225609e-01 7.404541e+01 2.341227e-01 4.661511e+01
1.256637e-01 1.256869e-01 7.223355e+01 3.766861e-01 4.661511e+01
1.288053e-01 1.288535e-01 6.998109e+01 3.980520e-01 4.661511e+01
1.319469e-01 1.320102e-01 6.860438e+01 4.782769e-01 4.661511e+01
1.350885e-01 1.351449e-01 6.600266e+01 2.814197e-01 4.661511e+01
1.382301e-01 1.382808e-01 6.402559e+01 2.481509e-01 4.661511e+01
1.413717e-01 1.414349e-01 6.126663e+01 1.707376e-01 4.661511e+01
1.445133e-01 1.445743e-01 5.924037e+01 3.145227e-01 4.661511e+01
1.476549e-01 1.476762e-01 5.655286e+01 3.406183e-01 4.661511e+01
1.507964e-01 1.508038e-01 5.459276e+01 2.381054e-01 4.661511e+01
1.539380e-01 1.539691e-01 5.266598e+01 3.558757e-01 4.661511e+01
1.570796e-01 1.571380e-01 5.085773e+01 3.422989e-01 4.661511e+01
1.602212e-01 1.602731e-01 4.908402e+01 2.081708e-01 4.661511e+01
1.633628e-01 1.634064e-01 4.812251e+01 1.904619e-01 4.661511e+01
1.665044e-01 1.665619e-01 4.660743e+01 2.587777e-01 4.661511e+01
1.696460e-01 1.697023e-01 4.551545e+01 1.713696e-01 4.661511e+01
1.727876e-01 1.728196e-01 4.455682e+01 1.822540e-01 4.661511e+01
1.759292e-01 1.759404e-01 4.375008e+01 2.009943e-01 4.661511e+01
1.790708e-01 1.791016e-01 4.298369e+01 2.870790e-01 4.661511e+01
1.822124e-01 1.822559e-01 4.236918e+01 1.355489e-01 4.661511e+01
